id,clientip,datetime_confirmed,method_GET,request,status_code,size,user_agent,referer_present
435,2.177.12.140,2019-01-22T08:56:43.000+05:30,POST,/image/59567/productModel/150x150 HTTP/11,200,6.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
262636,2.177.12.155,2019-01-22T05:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
83627,2.177.12.267,2019-01-22T10:56:25.000+05:30,GET,/image/64272/productModel/150x150 HTTP/11,200,4.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
72831,2.177.12.291,2019-01-22T03:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
31680,2.177.12.334,2019-01-22T05:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
258808,2.177.12.381,2019-01-22T03:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
57519,2.177.12.554,2019-01-22T03:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
134986,2.177.12.576,2019-01-22T06:56:25.000+05:30,GET,/image/64272/productModel/150x150 HTTP/11,200,4.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
194958,2.177.12.588,2019-01-22T09:56:25.000+05:30,GET,/image/64272/productModel/150x150 HTTP/11,200,4.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
315590,2.177.12.6,2019-01-22T00:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
140459,2.177.12.72,2019-01-22T11:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
259446,2.177.12.720,2019-01-22T11:56:36.000+05:30,GET,/image/62423/productModel/150x150 HTTP/11,200,5.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
122545,2.177.12.825,2019-01-22T08:56:25.000+05:30,GET,/image/64272/productModel/150x150 HTTP/11,200,4.0,"\"Mozilla/5.0 (Android 7.1.1;",Y
290379,2.179.141.108,2019-01-22T04:56:32.000+05:30,POST,/ajaxFilter/p65b1page1 HTTP/11,200,5.0,"\"Mozilla/5.0 (Windows NT 6.1",Y
240615,2.179.141.269,2019-01-22T04:56:32.000+05:30,POST,/ajaxFilter/p65b1page1 HTTP/11,200,5.0,"\"Mozilla/5.0 (Windows NT 6.1",Y
188937,2.179.141.347,2019-01-22T11:56:32.000+05:30,POST,/ajaxFilter/p65b1page1 HTTP/11,200,5.0,"\"Mozilla/5.0 (Windows NT 6.1",Y
153209,2.179.141.521,2019-01-22T11:56:32.000+05:30,POST,/ajaxFilter/p65b1page1 HTTP/11,200,5.0,"\"Mozilla/5.0 (Windows NT 6.1",Y
43792,2.179.141.700,2019-01-22T04:56:32.000+05:30,POST,/ajaxFilter/p65b1page1 HTTP/11,200,5.0,"\"Mozilla/5.0 (Windows NT 6.1",Y
34110,204.18.198.248,2019-01-10T08:57:11.000+05:30,POST,/settings/logo HTTP/11,200,4.0,"\"Mozilla/5.0 (iPhone; CPU",Y
