id,day_hour,clientip,GET,POST,HEAD,hour,no_of_client
1,2019-01-22 3,66.249.66.896,1,0,0,3,1
2,2019-01-22 3,91.99.72.578,2,0,0,3,2
3,2019-01-22 4,40.77.167.790,1,0,0,4,1
4,2019-01-22 11,66.111.54.364,1,0,0,11,1
5,2019-01-22 10,204.18.198.343,1,0,0,10,1
6,2019-01-22 5,5.209.200.331,1,0,0,5,1
7,2019-01-22 2,2.179.141.284,0,1,0,2,1
8,2019-01-22 7,66.111.54.339,1,0,0,7,1
9,2019-01-22 8,66.249.66.390,1,0,0,8,1
10,2019-01-22 11,66.111.54.614,1,0,0,11,1
11,2019-01-22 10,5.209.200.977,1,0,0,10,1
12,2019-01-22 7,66.111.54.895,2,0,0,7,2
13,2019-01-22 2,2.177.12.8,1,0,0,2,1
14,2019-01-22 7,66.111.54.145,1,0,0,7,1
15,2019-01-26 3,54.36.148.966,1,0,0,3,1
16,2019-01-22 9,66.249.66.523,1,1,0,9,2
17,2019-01-22 2,66.249.66.108,1,0,0,2,1
18,2019-01-22 5,91.99.72.6,1,1,0,5,2
19,2019-01-22 3,5.211.97.768,1,0,0,3,1
20,2019-01-22 7,66.249.66.838,2,0,0,7,2
21,2019-01-22 5,5.209.200.172,1,0,0,5,1
22,2019-01-22 8,54.36.148.163,1,0,0,8,1
23,2019-01-22 3,5.209.200.135,1,0,0,3,1
24,2019-01-22 0,207.46.13.786,1,0,0,0,1
25,2019-01-19 11,66.249.66.194,0,1,0,11,1
26,2019-01-22 11,91.99.72.708,1,0,0,11,1
27,2019-01-22 5,66.111.54.739,1,0,0,5,1
28,2019-01-22 4,91.99.72.687,1,0,0,4,1
29,2019-01-22 0,5.78.198.848,1,0,0,0,1
30,2019-01-14 10,54.36.148.5,1,0,0,10,1
31,2019-01-22 9,66.249.66.760,1,0,0,9,1
32,2019-01-22 7,5.78.198.126,1,0,0,7,1
33,2019-01-22 1,66.249.66.111,1,0,0,1,1
